display_name,category,sector,country_codes,barcodes,aliases,image_url,unit,tags,supplier_suggestions,marketplace_matches,publication_status,notes,reference_price,sale_price,supplier_hint,verified,added_by_count
Microéponge chirurgical,M?dicament,pharmacie,SN,,Microéponge chirurgical,,,medicament|senegal,,,draft,Niveaux: + + | Source: Microéponge chirurgical + +,,,,false,1
Couteaux 30° et 45°,M?dicament,pharmacie,SN,,Couteaux 30° et 45°|Couteaux,,,medicament|senegal,,,draft,Niveaux: + + | Source: Couteaux 30° et 45° + +,,,,false,1
Pince à monofilament,M?dicament,pharmacie,SN,,Pince à monofilament,,,medicament|senegal,,,draft,Niveaux: + + | Source: Pince à monofilament + +,,,,false,1
Canule à double courant,M?dicament,pharmacie,SN,,Canule à double courant,,,medicament|senegal,,,draft,Niveaux: + + | Source: Canule à double courant + +,,,,false,1
Néosynéphrine,M?dicament,pharmacie,SN,,Néosynéphrine,,,medicament|senegal,,,draft,Niveaux: + + | Source: Néosynéphrine + +,,,,false,1
Nandrolone,M?dicament,pharmacie,SN,,Nandrolone,,,medicament|senegal,,,draft,Niveaux: + + | Source: Nandrolone + +,,,,false,1
Acétazolamide,M?dicament,pharmacie,SN,,Acétazolamide,,,medicament|senegal,,,draft,Niveaux: + + | Source: Acétazolamide + +,,,,false,1
Goniosol,M?dicament,pharmacie,SN,,Goniosol,,,medicament|senegal,,,draft,Niveaux: + + | Source: Goniosol + +,,,,false,1
Refractosol - XXXII Autres produits de santé,M?dicament,pharmacie,SN,,Refractosol|XXXII Autres produits de santé,,,medicament|senegal,,,draft,Niveaux: + + | Source: Refractosol + + XXXII Autres produits de santé,,,XXXII Autres produits de santé,false,1
Poche à sang simple,M?dicament,pharmacie,SN,,Poche à sang simple,,,medicament|senegal,,,draft,Source: Poche à sang simple,,,,false,1
Poche à sang double,M?dicament,pharmacie,SN,,Poche à sang double,,,medicament|senegal,,,draft,Source: Poche à sang double,,,,false,1
Poche à sang triple,M?dicament,pharmacie,SN,,Poche à sang triple,,,medicament|senegal,,,draft,Source: Poche à sang triple,,,,false,1
Bande platrée,M?dicament,pharmacie,SN,,Bande platrée,,,medicament|senegal,,,draft,Source: Bande platrée,,,,false,1
Gaze pièce,M?dicament,pharmacie,SN,,Gaze pièce,,,medicament|senegal,,,draft,Source: Gaze pièce,,,,false,1
Seringue 5 CC 53,M?dicament,pharmacie,SN,,Seringue 5 CC 53|Seringue,,,medicament|senegal,,,draft,Source: Seringue 5 CC 53,,,,false,1
Seringue 10 CC,M?dicament,pharmacie,SN,,Seringue 10 CC|Seringue,,,medicament|senegal,,,draft,Source: Seringue 10 CC,,,,false,1
Seringue 20 CC,M?dicament,pharmacie,SN,,Seringue 20 CC|Seringue,,,medicament|senegal,,,draft,Source: Seringue 20 CC,,,,false,1
Seringue 60 CC,M?dicament,pharmacie,SN,,Seringue 60 CC|Seringue,,,medicament|senegal,,,draft,Source: Seringue 60 CC,,,,false,1
Perfuseur,M?dicament,pharmacie,SN,,Perfuseur,,,medicament|senegal,,,draft,Source: Perfuseur,,,,false,1
Catheter 16G,M?dicament,pharmacie,SN,,Catheter 16G|Catheter,,,medicament|senegal,,,draft,Source: Catheter 16G,,,,false,1
Catheter 18G,M?dicament,pharmacie,SN,,Catheter 18G|Catheter,,,medicament|senegal,,,draft,Source: Catheter 18G,,,,false,1
Catheter 20 G,M?dicament,pharmacie,SN,,Catheter 20 G|Catheter,,,medicament|senegal,,,draft,Source: Catheter 20 G,,,,false,1
Catheter 22 G,M?dicament,pharmacie,SN,,Catheter 22 G|Catheter,,,medicament|senegal,,,draft,Source: Catheter 22 G,,,,false,1
Catheter 24 G,M?dicament,pharmacie,SN,,Catheter 24 G|Catheter,,,medicament|senegal,,,draft,Source: Catheter 24 G,,,,false,1
Transfuseur,M?dicament,pharmacie,SN,,Transfuseur,,,medicament|senegal,,,draft,Source: Transfuseur,,,,false,1
Gant de chirurgie,M?dicament,pharmacie,SN,,Gant de chirurgie,,,medicament|senegal,,,draft,Source: Gant de chirurgie,,,,false,1
Fil de suture resorbable,M?dicament,pharmacie,SN,,Fil de suture resorbable,,,medicament|senegal,,,draft,Source: Fil de suture resorbable,,,,false,1
Sonde de gavage,M?dicament,pharmacie,SN,,Sonde de gavage,,,medicament|senegal,,,draft,Source: Sonde de gavage,,,,false,1
Films radio,M?dicament,pharmacie,SN,,Films radio,,,medicament|senegal,,,draft,Source: Films radio,,,,false,1
Films numérique,M?dicament,pharmacie,SN,,Films numérique,,,medicament|senegal,,,draft,Source: Films numérique,,,,false,1
Iopamidols,M?dicament,pharmacie,SN,,Iopamidols,,,medicament|senegal,,,draft,Source: Iopamidols,,,,false,1
Test de diagnostique de la méningite,M?dicament,pharmacie,SN,,Test de diagnostique de la méningite,,,medicament|senegal,,,draft,Source: Test de diagnostique de la méningite,,,,false,1
Test de diagnostique du choléra,M?dicament,pharmacie,SN,,Test de diagnostique du choléra,,,medicament|senegal,,,draft,Source: Test de diagnostique du choléra,,,,false,1
Mini prolongateur,M?dicament,pharmacie,SN,,Mini prolongateur,,,medicament|senegal,,,draft,Source: Mini prolongateur,,,,false,1
Prolongateur,M?dicament,pharmacie,SN,,Prolongateur,,,medicament|senegal,,,draft,Source: Prolongateur,,,,false,1
"Sonde nasogastrique ""feeding""",M?dicament,pharmacie,SN,,"Sonde nasogastrique ""feeding""",,,medicament|senegal,,,draft,"Source: Sonde nasogastrique ""feeding""",,,,false,1
Sonde JJ,M?dicament,pharmacie,SN,,Sonde JJ,,,medicament|senegal,,,draft,Source: Sonde JJ,,,,false,1
Sonde prostatique silicone 3voies,M?dicament,pharmacie,SN,,Sonde prostatique silicone 3voies|Sonde prostatique silicone,,,medicament|senegal,,,draft,Source: Sonde prostatique silicone 3voies,,,,false,1
Sonde d'intubation de différents calibres,M?dicament,pharmacie,SN,,Sonde d'intubation de différents calibres,,,medicament|senegal,,,draft,Source: Sonde d'intubation de différents calibres,,,,false,1
Sonde urinaire pédiatrique et adulte,M?dicament,pharmacie,SN,,Sonde urinaire pédiatrique et adulte,,,medicament|senegal,,,draft,Source: Sonde urinaire pédiatrique et adulte,,,,false,1
Sonde d'aspiration pédiatrique et adulte,M?dicament,pharmacie,SN,,Sonde d'aspiration pédiatrique et adulte,,,medicament|senegal,,,draft,Source: Sonde d'aspiration pédiatrique et adulte,,,,false,1
sonde pour autosondage,M?dicament,pharmacie,SN,,sonde pour autosondage,,,medicament|senegal,,,draft,Source: sonde pour autosondage,,,,false,1
Drains thoraciques,M?dicament,pharmacie,SN,,Drains thoraciques,,,medicament|senegal,,,draft,Source: Drains thoraciques,,,,false,1
Valve de Hemlich,M?dicament,pharmacie,SN,,Valve de Hemlich,,,medicament|senegal,,,draft,Source: Valve de Hemlich,,,,false,1
Electrodes pediatriques,M?dicament,pharmacie,SN,,Electrodes pediatriques,,,medicament|senegal,,,draft,Source: Electrodes pediatriques,,,,false,1
Electrodes,M?dicament,pharmacie,SN,,Electrodes,,,medicament|senegal,,,draft,Source: Electrodes,,,,false,1
Bandelette,Bandelette,pharmacie,SN,,Bandelette,,,medicament|senegal|bandelette,,,draft,Source: Bandelettes urinaires multiparamètriques,,,,false,1
Bandelette,Bandelette,pharmacie,SN,,Bandelette,,,medicament|senegal|bandelette,,,draft,Source: Bandelette et lecteur corps cétoniques,,,,false,1
Robinet à 3 voies,M?dicament,pharmacie,SN,,Robinet à 3 voies|Robinet à,,,medicament|senegal,,,draft,Source: Robinet à 3 voies,,,,false,1
Lunettes d'oxygènes,M?dicament,pharmacie,SN,,Lunettes d'oxygènes,,,medicament|senegal,,,draft,Source: Lunettes d'oxygènes,,,,false,1
Masque simple d'oxygène,M?dicament,pharmacie,SN,,Masque simple d'oxygène,,,medicament|senegal,,,draft,Source: Masque simple d'oxygène,,,,false,1
Masque à haute concentration,M?dicament,pharmacie,SN,,Masque à haute concentration,,,medicament|senegal,,,draft,Source: Masque à haute concentration,,,,false,1
Nébulisateur,M?dicament,pharmacie,SN,,Nébulisateur,,,medicament|senegal,,,draft,Source: Nébulisateur,,,,false,1
Ambu pédiatrique,M?dicament,pharmacie,SN,,Ambu pédiatrique,,,medicament|senegal,,,draft,Source: Ambu pédiatrique,,,,false,1
Poire pour aspiration,M?dicament,pharmacie,SN,,Poire pour aspiration,,,medicament|senegal,,,draft,Source: Poire pour aspiration,,,,false,1
Masque facial pédiatrique,M?dicament,pharmacie,SN,,Masque facial pédiatrique,,,medicament|senegal,,,draft,Source: Masque facial pédiatrique,,,,false,1
Coton,M?dicament,pharmacie,SN,,Coton,,,medicament|senegal,,,draft,Source: Coton,,,,false,1
Compresse,M?dicament,pharmacie,SN,,Compresse,,,medicament|senegal,,,draft,Source: Compresse,,,,false,1
Jersey,M?dicament,pharmacie,SN,,Jersey,,,medicament|senegal,,,draft,Source: Jersey,,,,false,1
Sparadrap,M?dicament,pharmacie,SN,,Sparadrap,,,medicament|senegal,,,draft,Source: Sparadrap,,,,false,1
Boîte de sécurité seringue,M?dicament,pharmacie,SN,,Boîte de sécurité seringue,,,medicament|senegal,,,draft,Source: Boîte de sécurité seringue,,,,false,1
Aiguille pour ponction lombaire,M?dicament,pharmacie,SN,,Aiguille pour ponction lombaire,,,medicament|senegal,,,draft,Source: Aiguille pour ponction lombaire,,,,false,1
Abaisse langue pediatrique et adulte,M?dicament,pharmacie,SN,,Abaisse langue pediatrique et adulte,,,medicament|senegal,,,draft,Source: Abaisse langue pediatrique et adulte,,,,false,1
Gant d'examen latex,M?dicament,pharmacie,SN,,Gant d'examen latex,,,medicament|senegal,,,draft,Source: Gant d'examen latex,,,,false,1
Pèse personne pediatrique et adulte,M?dicament,pharmacie,SN,,Pèse personne pediatrique et adulte,,,medicament|senegal,,,draft,Source: Pèse personne pediatrique et adulte,,,,false,1
Aspirateur de mucosités,M?dicament,pharmacie,SN,,Aspirateur de mucosités,,,medicament|senegal,,,draft,Source: Aspirateur de mucosités,,,,false,1
Ballon de ventilation pour le nouveau né avec masque,M?dicament,pharmacie,SN,,Ballon de ventilation pour le nouveau né avec masque,,,medicament|senegal,,,draft,Source: Ballon de ventilation pour le nouveau né avec masque,,,,false,1
Tensiomètre,M?dicament,pharmacie,SN,,Tensiomètre,,,medicament|senegal,,,draft,Source: Tensiomètre,,,,false,1
